Modèle,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
BMW Série 3,142 000 km,2016,Automatique,Essence,7 cv,77 000 DT
BMW Série 3,92 000 km,2016,Manuelle,Essence,10 cv,88 000 DT
Peugeot Landtrek Double Cabine,124 000 km,2021,Manuelle,Diesel,6 cv,64 500 DT
BMW Série 1 Business Line,111 074 km,2019,Automatique,Essence,7 cv,81 000 DT
Hyundai Creta,90 500 km,2020,Automatique,Essence,6 cv,74 000 DT
BMW X4,50 000 km,2019,Automatique,Essence,11 cv,243 000 DT
Ford Ecosport,77 000 km,2021,Automatique,Essence,7 cv,66 000 DT
Audi A3 Sportback,154 000 km,2016,Manuelle,Essence,6 cv,64 500 DT
Seat Arona,43 000 km,2020,Automatique,Essence,6 cv,75 000 DT
Nissan Qashqai,228 000 km,2010,Manuelle,Diesel,6 cv,37 000 DT
Haval Jolion,35 000 km,2021,Automatique,Essence,9 cv,84 000 DT
Mercedes-Benz GLC,39 000 km,2018,Automatique,Diesel,9 cv,220 000 DT
Porsche Macan,22 000 km,2023,Automatique,Essence,17 cv,360 000 DT
Land Rover Range Rover Sport,178 000 km,2013,Automatique,Diesel,17 cv,145 000 DT
Renault Clio,122 000 km,2021,Manuelle,Essence,5 cv,41 500 DT
Peugeot 3008,93 000 km,2020,Automatique,Essence,7 cv,69 000 DT
Audi A5 Sportback S-Line,102 000 km,2021,Automatique,Essence,8 cv,142 000 DT
Land Rover Discovery,176 000 km,2015,Automatique,Essence,15 cv,114 000 DT
BMW X1 xLine,21 000 km,2023,Automatique,Essence,9 cv,175 000 DT
BMW X5,214 000 km,2018,Automatique,Diesel,13 cv,170 000 DT
BMW X3,69 500 km,2020,Automatique,Diesel,8 cv,220 000 DT
Mercedes-Benz Classe C,176 000 km,2016,Automatique,Essence,8 cv,90 000 DT
Audi A3 Berline,56 000 km,2022,Automatique,Essence,8 cv,119 000 DT
Jaguar XJL,51 500 km,2014,Automatique,Essence,16 cv,150 000 DT
Mercedes-Benz GLC Coupé,70 000 km,2020,Automatique,Hybride,12 cv,245 000 DT
Audi A7 Sportback Quattro V6,86 000 km,2022,Automatique,Essence,23 cv,295 000 DT
Land Rover Range Rover,52 000 km,2017,Automatique,Essence,43 cv,460 000 DT
Mercedes-Benz Classe A,37 000 km,2021,Automatique,Hybride,8 cv,137 000 DT
BMW Série 4 Coupé,20 500 km,2023,Automatique,Essence,10 cv,265 000 DT
Hyundai Tucson,11 500 km,2023,Automatique,Essence,10 cv,142 000 DT
Chery Tiggo 8,49 500 km,2022,Automatique,Essence,9 cv,92 500 DT
Mercedes-Benz GLA,91 000 km,2021,Automatique,Essence,9 cv,182 000 DT
BMW X2,38 000 km,2018,Automatique,Essence,7 cv,132 000 DT
BMW Série 4 Gran Coupé,108 000 km,2017,Automatique,Essence,7 cv,105 000 DT
MG HS Luxury,78 000 km,2021,Automatique,Essence,10 cv,77 500 DT
Ford Kuga,93 000 km,2019,Manuelle,Essence,8 cv,71 500 DT
Volkswagen Golf 7,98 500 km,2017,Manuelle,Essence,5 cv,62 500 DT
KIA Sportage,77 000 km,2021,Automatique,Essence,8 cv,103 000 DT
KIA Sportage,123 000 km,2019,Automatique,Essence,8 cv,76 000 DT
Haval H6 Luxury,99 000 km,2019,Automatique,Essence,9 cv,72 000 DT
Mercedes-Benz Classe C,35 000 km,2022,Automatique,Essence,9 cv,215 000 DT
Mazda 3,130 000 km,2017,Manuelle,Essence,6 cv,46 000 DT
Ford Ecosport,94 000 km,2020,Manuelle,Essence,7 cv,66 000 DT
Mercedes-Benz GLB AMG,50 000 km,2022,Automatique,Essence,9 cv,175 000 DT
Toyota Land Cruiser GX 24,360 000 km,1999,Manuelle,Diesel,17 cv,80 000 DT
Volkswagen Polo Confortline,296 000 km,2010,Manuelle,Diesel,5 cv,30 000 DT
Skoda Scala Essence,95 000 km,2020,Automatique,Essence,6 cv,67 000 DT
KIA Rio 5p,115 000 km,2017,Manuelle,Essence,5 cv,42 000 DT
Chery Tiggo 2,100 000 km,2019,Manuelle,Essence,6 cv,41 500 DT
Peugeot 207,180 000 km,2008,Manuelle,Essence,6 cv,27 000 DT
Mercedes-Benz Classe C AMG +,32 000 km,2023,Automatique,Hybride,11 cv,225 000 DT
Mercedes-Benz GLA AMG,28 000 km,2022,Automatique,Hybride,8 cv,179 000 DT
Mercedes-Benz Classe C AMG,78 000 km,2020,Automatique,Diesel,6 cv,118 000 DT
Mahindra KUV 100 K8,48 000 km,2022,Manuelle,Essence,5 cv,34 000 DT
Seat Leon Style,148 000 km,2020,Manuelle,Essence,6 cv,63 000 DT
Volkswagen Golf 8,87 000 km,2021,Manuelle,Essence,6 cv,83 000 DT
Chevrolet Captiva 7 places,22 000 km,2023,Automatique,Essence,8 cv,87 000 DT
Mercedes-Benz Classe E AMG,98 000 km,2021,Automatique,Hybride,11 cv,228 000 DT
Suzuki Celerio,0 km,2024,Manuelle,Essence,4 cv,39 500 DT
Volkswagen Golf 7,153 000 km,2015,Manuelle,Essence,5 cv,49 500 DT
Peugeot 208,108 000 km,2021,Manuelle,Diesel,5 cv,45 500 DT
Audi Q5 S-line,270 000 km,2014,Automatique,Diesel,10 cv,78 000 DT
Citroën C1 Importée Tn245,56 000 km,2021,Manuelle,Essence,4 cv,38 500 DT
Peugeot 3008,148 000 km,2020,Automatique,Diesel,6 cv,79 000 DT
Volkswagen Amarok TDI 4*4,198 000 km,2012,Manuelle,Diesel,7 cv,57 000 DT
Mercedes-Benz CLA,138 000 km,2020,Automatique,Diesel,6 cv,138 000 DT
KIA Sportage GT-Line,119 000 km,2019,Automatique,Diesel,7 cv,98 000 DT
Seat Leon Cupra,135 000 km,2018,Automatique,Essence,17 cv,87 000 DT
Volkswagen Golf 7 Confortline,69 000 km,2020,Manuelle,Essence,6 cv,75 000 DT
Volkswagen Golf 7,88 000 km,2018,Manuelle,Essence,8 cv,95 000 DT
Mercedes-Benz GLC Coupé AMG,56 000 km,2020,Automatique,Hybride,12 cv,260 000 DT
Mercedes-Benz Classe C AMG,54 000 km,2018,Automatique,Hybride,11 cv,165 000 DT
Mercedes-Benz Classe A,66 000 km,2021,Automatique,Hybride,8 cv,135 000 DT
Audi A4,180 000 km,2010,Manuelle,Essence,7 cv,35 000 DT
Mercedes-Benz CLA AMG,25 000 km,2021,Automatique,Hybride,8 cv,170 000 DT
Mercedes-Benz Classe A,35 000 km,2020,Automatique,Hybride,8 cv,130 000 DT
Peugeot 308,102 000 km,2020,Manuelle,Essence,5 cv,50 000 DT
Mercedes-Benz Classe C Avantgarde,160 000 km,2015,Automatique,Essence,8 cv,88 000 DT
Mercedes-Benz Classe E AMG,95 000 km,2018,Automatique,Essence,9 cv,155 000 DT
Mercedes-Benz GLA AMG,20 000 km,2023,Automatique,Essence,7 cv,189 000 DT
Land Rover Range Rover Evoque R-Dynamic,150 000 km,2016,Automatique,Diesel,10 cv,122 000 DT
Mercedes-Benz Classe C AMG,135 000 km,2019,Automatique,Essence,8 cv,Sous leasing                    161 300 DT
BMW Série 4 Gran Coupé,90 000 km,2019,Automatique,Essence,7 cv,145 000 DT
Mercedes-Benz Classe C coupé AMG,86 000 km,2019,Automatique,Hybride,10 cv,178 000 DT
Porsche Cayenne,195 000 km,2012,Automatique,Essence,21 cv,152 000 DT
Audi Q3,110 000 km,2019,Automatique,Essence,9 cv,112 000 DT
Mercedes-Benz Classe S S 350 phase 2,165 000 km,2010,Automatique,Essence,18 cv,122 000 DT
MG HS Trophy,35 000 km,2021,Automatique,Essence,15 cv,103 000 DT
Volkswagen Golf 7 Join,83 000 km,2018,Manuelle,Essence,4 cv,72 000 DT
Mercedes-Benz Classe S S350. Toit ouvrant,147 000 km,2009,Automatique,Essence,19 cv,98 000 DT
Mercedes-Benz Classe C AMG +,146 000 km,2015,Automatique,Essence,8 cv,135 000 DT
Mercedes-Benz GLE Coupé,54 000 km,2020,Automatique,Diesel,18 cv,420 000 DT
Volkswagen Golf 8 Active,69 000 km,2021,Manuelle,Essence,6 cv,95 000 DT
KIA Rio 5p,145 000 km,2019,Manuelle,Essence,5 cv,49 000 DT
Mercedes-Benz Classe C,161 000 km,2012,Automatique,Essence,9 cv,74 500 DT
BMW Série 1 Urban Line,144 000 km,2015,Automatique,Essence,7 cv,55 000 DT
Volkswagen Tiguan Access,320 000 km,2011,Manuelle,Essence,7 cv,45 000 DT
Fiat Punto,216 000 km,2015,Manuelle,Essence,4 cv,28 000 DT
Volkswagen Polo Trendline,184 000 km,2009,Manuelle,Essence,4 cv,28 000 DT
Volkswagen Golf 7,185 000 km,2016,Automatique,Essence,6 cv,54 000 DT
BMW Série 4 Gran Coupé,120 000 km,2017,Automatique,Essence,7 cv,115 000 DT
Mercedes-Benz Classe E coupé,160 000 km,2011,Automatique,Essence,11 cv,60 000 DT
Mercedes-Benz GLC Coupé AMG,0 km,2024,Automatique,Essence,15 cv,420 000 DT
Mercedes-Benz Classe C,200 000 km,2014,Automatique,Essence,8 cv,105 000 DT
Ssangyong Tivoli Confort Plus,4 700 km,2018,Automatique,Essence,7 cv,65 000 DT
Mini 3 portes John Cooper Works,100 000 km,2017,Automatique,Essence,5 cv,63 000 DT
Toyota Hilux Double Cabine D4D,140 000 km,2020,Automatique,Diesel,8 cv,168 000 DT
Land Rover Range Rover Evoque,60 000 km,2022,Automatique,Hybride,11 cv,245 000 DT
Mercedes-Benz Classe A Berline AMG,100 000 km,2020,Automatique,Essence,6 cv,132 000 DT
Mercedes-Benz CLA AMG,0 km,2024,Automatique,Essence,8 cv,220 000 DT
Porsche Cayenne Coupé GTS,70 000 km,2020,Automatique,Hybride,22 cv,480 000 DT
Mercedes-Benz GLE Coupé,30 000 km,2022,Automatique,Hybride,12 cv,450 000 DT
Mercedes-Benz Classe E AMG,70 000 km,2020,Automatique,Hybride,12 cv,260 000 DT
Mercedes-Benz GLC Coupé AMG,80 000 km,2021,Automatique,Hybride,11 cv,270 000 DT
BMW Série 4 Gran Coupé KIT-M-individual,120 000 km,2016,Automatique,Essence,10 cv,145 000 DT
Mercedes-Benz CLA,130 000 km,2017,Automatique,Diesel,6 cv,115 000 DT
Audi A3 Sportback 1.5,900 km,2023,Automatique,Hybride,8 cv,145 000 DT
Volkswagen T-Cross,20 000 km,2023,Automatique,Essence,7 cv,86 000 DT
Audi A3 Berline,20 000 km,2022,Automatique,Essence,8 cv,120 000 DT
Opel Combo Cargo Confort L1H1 650 kg,3 000 km,2024,Manuelle,Diesel,5 cv,64 500 DT
KIA Rio 5p,4 200 km,2022,Manuelle,Essence,5 cv,71 000 DT
Toyota Prado,250 000 km,2015,Automatique,Essence,11 cv,180 000 DT
Porsche Cayenne,190 000 km,2004,Automatique,Essence,19 cv,48 000 DT
Nissan Patrol,480 000 km,1999,Manuelle,Diesel,11 cv,53 000 DT
Renault Symbol,180 000 km,2012,Manuelle,Essence,5 cv,28 500 DT
BMW Série 3,188 000 km,2015,Manuelle,Essence,7 cv,55 000 DT
KIA Sportage,85 000 km,2020,Automatique,Essence,11 cv,95 000 DT
BMW Série 5,70 000 km,2021,Automatique,Essence,10 cv,176 000 DT
Renault Kadjar,83 000 km,2018,Manuelle,Essence,7 cv,72 000 DT
Peugeot Partner Origin Utilitaire Pack Clim PM,73 000 km,2019,Manuelle,Diesel,5 cv,56 000 DT
Ssangyong Tivoli Confort,23 000 km,2020,Automatique,Essence,8 cv,78 000 DT
Mercedes-Benz Classe A Sport AMG,35 000 km,2019,Automatique,Essence,8 cv,125 000 DT
Jaguar XF Luxe,120 000 km,2014,Automatique,Essence,15 cv,95 000 DT
Seat Ibiza Xcellence,16 000 km,2022,Automatique,Essence,6 cv,80 000 DT
Mercedes-Benz GLE AMG,25 000 km,2023,Automatique,Hybride,9 cv,420 000 DT
Jaguar XJL,35 000 km,2019,Automatique,Essence,16 cv,285 000 DT
Citroën C3,114 550 km,2014,Manuelle,Essence,5 cv,29 500 DT
Audi A1 Sportback,15 000 km,2023,Automatique,Essence,6 cv,99 000 DT
Renault Clio Campus climatisée,365 000 km,2010,Manuelle,Diesel,4 cv,20 500 DT
Chery Tiggo 8 Pro,2 554 km,2023,Automatique,Essence,11 cv,116 000 DT
Mercedes-Benz Classe E,106 000 km,2017,Automatique,Essence,9 cv,127 000 DT
Ford Mustang,63 000 km,2018,Automatique,Essence,19 cv,200 000 DT
Volkswagen Golf 7,230 000 km,2014,Manuelle,Essence,5 cv,49 500 DT
Mercedes-Benz ML,231 000 km,2010,Automatique,Diesel,12 cv,88 000 DT
Peugeot 508,137 000 km,2019,Automatique,Essence,8 cv,79 000 DT
Ssangyong Tivoli,116 000 km,2019,Automatique,Essence,8 cv,59 000 DT
Toyota Land Cruiser,98 000 km,2016,Automatique,Diesel,18 cv,350 000 DT
Mercedes-Benz Classe G,30 000 km,2015,Automatique,Essence,47 cv,590 000 DT
Land Rover Range Rover Sport,100 000 km,2019,Automatique,Hybride,19 cv,340 000 DT
Porsche Cayenne,216 000 km,2011,Automatique,Essence,21 cv,138 000 DT
Mercedes-Benz Classe S,79 000 km,2015,Automatique,Hybride,11 cv,195 000 DT
Land Rover Range Rover Evoque,182 000 km,2014,Automatique,Diesel,9 cv,98 000 DT
BYD F3,10 000 km,2022,Manuelle,Essence,7 cv,47 000 DT
Cupra Leon,74 000 km,2020,Automatique,Essence,18 cv,132 000 DT
Volkswagen Touareg,308 000 km,2006,Automatique,Diesel,16 cv,48 000 DT
BMW Série 5,32 000 km,2021,Automatique,Essence,10 cv,208 000 DT
BMW X6,180 000 km,2011,Automatique,Essence,21 cv,98 000 DT
Mercedes-Benz Classe E coupé,86 000 km,2018,Automatique,Hybride,33 cv,340 000 DT
BMW Série 3,80 000 km,2021,Automatique,Essence,9 cv,174 000 DT
Volkswagen Golf 7,73 000 km,2017,Automatique,Essence,13 cv,115 000 DT
Mini 5 portes,75 000 km,2015,Manuelle,Essence,5 cv,58 000 DT
Toyota RAV 4,280 000 km,2016,Automatique,Essence,9 cv,56 000 DT
Ford Ecosport,70 000 km,2018,Automatique,Essence,7 cv,59 000 DT
Peugeot 3008,87 000 km,2019,Automatique,Essence,7 cv,82 000 DT
Mini Clubman,34 000 km,2019,Manuelle,Essence,5 cv,90 000 DT
Mercedes-Benz GLC Coupé,6 600 km,2023,Automatique,Essence,12 cv,360 000 DT
KIA Picanto,16 000 km,2019,Automatique,Essence,5 cv,47 000 DT
Haval Jolion,39 000 km,2022,Automatique,Essence,9 cv,89 000 DT
BMW Série 5,93 000 km,2020,Automatique,Essence,10 cv,165 000 DT
Land Rover Range Rover Sport,37 000 km,2020,Automatique,Hybride,19 cv,350 000 DT
Porsche Cayenne,86 000 km,2019,Automatique,Hybride,20 cv,380 000 DT
Mercedes-Benz Classe S,40 000 km,2020,Automatique,Hybride,32 cv,450 000 DT
Nissan Qashqai,26 000 km,2022,Automatique,Essence,8 cv,95 000 DT
Mercedes-Benz Classe E,9 000 km,2022,Automatique,Essence,9 cv,245 000 DT
Smart ForTwo,80 000 km,2010,Automatique,Essence,4 cv,19 500 DT
Toyota Prado,449 000 km,2003,Automatique,Diesel,11 cv,88 000 DT
Audi A5 Sportback,58 000 km,2021,Automatique,Essence,8 cv,170 000 DT
Mercedes-Benz CLA,69 000 km,2021,Automatique,Hybride,8 cv,174 000 DT
Mercedes-Benz GLC Coupé,0 km,2024,Automatique,Essence,12 cv,400 000 DT
Mitsubishi L200 Sportero,19 000 km,2022,Automatique,Diesel,8 cv,168 000 DT
KIA Picanto,63 000 km,2022,Automatique,Essence,4 cv,53 000 DT
Mercedes-Benz Classe G,168 000 km,2010,Automatique,Diesel,16 cv,320 000 DT
Mercedes-Benz CLA,93 000 km,2020,Automatique,Diesel,6 cv,148 000 DT
Porsche Macan,6 300 km,2023,Automatique,Essence,17 cv,375 000 DT
Audi A5 Sportback S-Line,85 000 km,2020,Automatique,Essence,8 cv,147 000 DT
Hyundai Grand i10,100 000 km,2021,Manuelle,Essence,5 cv,43 000 DT
KIA Picanto,30 000 km,2021,Manuelle,Essence,5 cv,44 900 DT
BMW Série 2 Gran Coupé,118 000 km,2015,Automatique,Essence,10 cv,110 000 DT
Hyundai Grand i10 High Grade,100 000 km,2021,Manuelle,Essence,5 cv,43 000 DT
Mercedes-Benz ML,195 000 km,2011,Automatique,Essence,19 cv,70 000 DT
Renault Clio Dynamique,70 000 km,2016,Manuelle,Essence,5 cv,44 500 DT
BMW Série 4 Gran Coupé,120 000 km,2019,Automatique,Essence,7 cv,98 000 DT
Mazda 3,150 000 km,2015,Manuelle,Essence,6 cv,49 000 DT
Peugeot 3008,110 000 km,2017,Automatique,Essence,9 cv,77 000 DT
BMW Série 3 Access Plus Modern Line,300 000 km,2000,Manuelle,Essence,10 cv,37 500 DT
KIA Rio 5p Prestige,80 000 km,2018,Manuelle,Essence,5 cv,52 500 DT
BMW Série 3 Business Line,280 000 km,2013,Automatique,Essence,10 cv,62 000 DT
Citroën C1 TT Options,200 000 km,2011,Manuelle,Essence,5 cv,25 500 DT
BMW X5 Business Line Plus,310 000 km,2003,Manuelle,Diesel,11 cv,39 000 DT
Jeep Renegade Limited,80 000 km,2021,Automatique,Essence,8 cv,83 500 DT
Chery Tiggo 8 Pro,43 000 km,2022,Automatique,Essence,11 cv,98 000 DT
Renault Clio,110 000 km,2015,Manuelle,Essence,5 cv,41 900 DT
Great Wall M4 M,104 000 km,2018,Manuelle,Essence,6 cv,39 500 DT
BMW Série 4 Coupé Pack M Sport,10 000 km,2021,Automatique,Essence,10 cv,225 000 DT
BMW Série 3,170 000 km,2013,Automatique,Essence,7 cv,65 000 DT
BMW Série 5 Access Plus,270 000 km,2011,Automatique,Diesel,10 cv,59 000 DT
Hyundai Grand i10 Sedan,90 000 km,2019,Manuelle,Essence,5 cv,34 900 DT
Ssangyong Korando,80 000 km,2021,Automatique,Essence,9 cv,92 500 DT
Mercedes-Benz Classe E AMG,100 000 km,2021,Automatique,Hybride,11 cv,240 000 DT
Dacia Logan Écran tactile,20 000 km,2023,Manuelle,Essence,5 cv,54 000 DT
Ssangyong Korando Classic,160 000 km,2020,Automatique,Essence,7 cv,75 000 DT
MG ZS,49 000 km,2019,Manuelle,Essence,7 cv,57 000 DT
Nissan Micra,160 000 km,2015,Manuelle,Essence,5 cv,33 900 DT
Citroën C4 Cactus Feel,148 000 km,2020,Manuelle,Diesel,6 cv,58 000 DT
Volkswagen Polo Sedan,150 000 km,2021,Manuelle,Essence,5 cv,46 500 DT
BMW X6 TT Options,190 000 km,2010,Automatique,Diesel,15 cv,95 000 DT
BMW Série 7,150 000 km,2009,Automatique,Essence,31 cv,92 000 DT
Citroën C4 Seduction,222 000 km,2014,Manuelle,Diesel,6 cv,39 000 DT
Mercedes-Benz CLA AMG,160 000 km,2013,Automatique,Essence,8 cv,78 000 DT
Hyundai Grand i10,19 000 km,2022,Manuelle,Essence,4 cv,44 500 DT
KIA Picanto,90 000 km,2022,Manuelle,Essence,5 cv,42 900 DT
Renault Megane,155 000 km,2020,Manuelle,Essence,7 cv,50 000 DT
Mercedes-Benz CLS AMG,250 000 km,2011,Automatique,Diesel,10 cv,85 000 DT
Hyundai Trucks H350 TT Options,26 000 km,2021,Manuelle,Diesel,10 cv,74 000 DT
Volkswagen Golf 7,120 000 km,2019,Automatique,Essence,5 cv,57 000 DT
Jeep Compass,65 000 km,2016,Automatique,Essence,10 cv,65 000 DT
Jaguar XF,41 000 km,2018,Automatique,Essence,16 cv,135 000 DT
Peugeot 2008 Allure Toit Cielo,61 000 km,2018,Automatique,Essence,6 cv,49 000 DT
Seat Leon Style,96 000 km,2014,Automatique,Essence,6 cv,52 000 DT
Mercedes-Benz Classe E Avantgarde,154 000 km,2018,Automatique,Essence,9 cv,118 000 DT
Mercedes-Benz Classe E Avantgarde,107 000 km,2018,Automatique,Essence,9 cv,128 000 DT
Volkswagen Amarok Double Cabine,200 000 km,2016,Manuelle,Diesel,10 cv,79 000 DT
Mercedes-Benz Classe C,120 000 km,2019,Automatique,Essence,8 cv,110 000 DT
Dacia Dokker Van,150 000 km,2021,Manuelle,Diesel,6 cv,33 800 DT
Mercedes-Benz GLC AMG,142 000 km,2017,Automatique,Essence,12 cv,153 000 DT
Ford Focus,136 000 km,2018,Automatique,Essence,7 cv,48 000 DT
Land Rover Range Rover Sport,200 000 km,2016,Automatique,Diesel,16 cv,189 000 DT
Ford Mustang,16 000 km,2010,Automatique,Essence,28 cv,115 000 DT
Mercedes-Benz GLE Coupé AMG,74 000 km,2021,Automatique,Hybride,8 cv,375 000 DT
Citroën DS,99 000 km,2020,Automatique,Essence,10 cv,88 000 DT
BMW Série 5,173 000 km,2021,Automatique,Essence,10 cv,138 000 DT
Suzuki Swift,220 000 km,2020,Manuelle,Essence,5 cv,33 500 DT
Land Rover Range Rover Sport Autobiography,200 000 km,2011,Automatique,Diesel,16 cv,119 000 DT
BMW Série 3,210 000 km,2013,Automatique,Essence,7 cv,63 500 DT
Ford Fusion,85 000 km,2016,Manuelle,Essence,9 cv,57 000 DT
Land Rover Discovery Sport,187 000 km,2017,Automatique,Diesel,10 cv,117 000 DT
Jeep Renegade,74 000 km,2019,Automatique,Essence,8 cv,79 000 DT
KIA Seltos,37 000 km,2021,Automatique,Essence,8 cv,95 000 DT
BMW Série 3,180 000 km,1988,Manuelle,Diesel,7 cv,20 900 DT
Suzuki Swift GL,90 000 km,2018,Manuelle,Essence,5 cv,33 800 DT
Nissan 350Z,40 000 km,2003,Automatique,Essence,20 cv,87 000 DT
BMW Série 5,190 000 km,2005,Automatique,Diesel,18 cv,87 000 DT
Volkswagen Golf 7,70 000 km,2016,Automatique,Essence,13 cv,106 000 DT
BMW X6,200 000 km,2010,Automatique,Diesel,15 cv,98 000 DT
KIA Sportage,39 000 km,2022,Automatique,Essence,10 cv,Sous leasing                    148 600 DT
Mercedes-Benz GLA AMG,67 000 km,2016,Automatique,Essence,8 cv,115 000 DT
Peugeot 3008 Crossway,140 000 km,2018,Automatique,Essence,7 cv,82 000 DT
Cupra Formentor Style,56 000 km,2021,Automatique,Hybride,8 cv,129 000 DT
Renault Arkana Intense,73 000 km,2022,Automatique,Hybride,5 cv,89 000 DT
KIA Sportage GT-Line,140 000 km,2016,Automatique,Diesel,10 cv,97 000 DT
Mercedes-Benz Classe E Avantgarde,161 000 km,2009,Automatique,Diesel,12 cv,59 000 DT
KIA Rio Berline SX,114 000 km,2019,Automatique,Essence,6 cv,58 000 DT
BMW Série 1 Sport,115 000 km,2015,Automatique,Essence,9 cv,62 000 DT
DS 4 Crossback,150 000 km,2017,Automatique,Essence,9 cv,54 000 DT
Mercedes-Benz ML 320 CDI,250 000 km,2010,Automatique,Diesel,15 cv,79 000 DT
Lada 4x4,80 000 km,2018,Manuelle,Essence,7 cv,31 000 DT
Volkswagen Tiguan,25 000 km,2023,Automatique,Essence,8 cv,149 000 DT
Haval H6,79 000 km,2020,Automatique,Essence,9 cv,86 000 DT
Renault Megane Sedan,90 000 km,2019,Manuelle,Essence,7 cv,55 000 DT
Mahindra KUV 100 K8,0 km,2024,Manuelle,Essence,5 cv,42 500 DT
Haval H6 Luxury,62 000 km,2021,Automatique,Essence,9 cv,78 000 DT
Mercedes-Benz Classe C,239 000 km,2009,Automatique,Essence,11 cv,47 000 DT
Land Rover Range Rover Evoque,76 000 km,2020,Automatique,Hybride,8 cv,175 000 DT
Land Rover Range Rover Evoque,115 000 km,2016,Automatique,Diesel,8 cv,135 000 DT
Seat Ibiza,85 000 km,2019,Manuelle,Essence,4 cv,44 500 DT
Audi Q7 S-Line 7 places,54 000 km,2018,Automatique,Essence,16 cv,240 000 DT
Mercedes-Benz Classe E coupé,70 000 km,2017,Automatique,Essence,10 cv,185 000 DT
BMW X6 M PERFORMANCE,103 000 km,2010,Automatique,Essence,48 cv,160 000 DT
Seat Leon Style Plus,106 000 km,2019,Manuelle,Essence,6 cv,69 000 DT
Audi Q4 E-tron,24 000 km,2022,Automatique,Electrique,5 cv,145 000 DT
MG ZS Luxe,65 000 km,2019,Automatique,Essence,7 cv,65 000 DT
Mazda CX-5 High Grade,63 000 km,2019,Automatique,Essence,9 cv,115 000 DT
Mercedes-Benz Classe C,201 000 km,2013,Automatique,Essence,9 cv,80 500 DT
Jaguar F-Pace,84 000 km,2018,Automatique,Diesel,10 cv,175 000 DT
Jaguar XF Luxe,41 000 km,2018,Automatique,Essence,16 cv,130 000 DT
Toyota C-HR,102 000 km,2020,Automatique,Essence,6 cv,78 000 DT
KIA Quoris,118 000 km,2013,Automatique,Essence,20 cv,85 000 DT
Jeep Grand Cherokee,54 000 km,2021,Automatique,Essence,20 cv,260 000 DT
Land Rover Range Rover Velar R-Dynamic,85 000 km,2021,Automatique,Essence,16 cv,240 000 DT
Land Rover Range Rover Evoque,122 000 km,2015,Automatique,Essence,15 cv,95 000 DT
Jeep Compass,76 000 km,2020,Automatique,Essence,11 cv,95 000 DT
MG GT Confort Plus,12 000 km,2024,Automatique,Essence,7 cv,Sous leasing                    110 800 DT
Mercedes-Benz Classe E coupé,90 000 km,2018,Automatique,Essence,11 cv,160 000 DT
Porsche Cayenne,183 000 km,2010,Automatique,Essence,41 cv,158 000 DT
Cupra Formentor Exclusive,23 000 km,2022,Automatique,Essence,11 cv,145 000 DT
Mercedes-Benz Classe C,56 000 km,2013,Automatique,Essence,9 cv,88 000 DT
